Name,Elo,Primary,Secondary,Country,Twitch,Discord,Pronouns,Home Matches,number_home_matches,Away Matches,number_away_matches,Total Matches Played,played_names,dropped
Alaeus,650,Blue,Green,NL,AlaeusSR,Alaeus#1525,she/her,,0,,0,0,,
BlazeRol,300,Green,Red,CA,BlazeRol,Blaze#3631,Don't want it displayed,,0,,0,0,,
Breadghost,655,Blue,Navy,US,TheBreadghost,Breadghost#7951,he/him,,0,,0,0,,
DarkMan,200,Pink,Yellow,FR,DarkMan_,DarkMan#8066,he/him,,0,,0,0,,
deathline,1155,Red,Orange,US,deathline,deathline#5901,he/him,,0,,0,0,,
Derpspace,625,Navy,Yellow,US,derpspace,derp#2272,they/them,,0,,0,0,,
Despin,1290,Purple,Navy,US,DespinSR,Despin#6978,Don't want it displayed,,0,,0,0,,
Dex,955,Green,Brown,US,LadDex_,Dex#1079,he/him,,0,,0,0,,
Dingeman,360,Orange,Teal,NL,Dingeman_jan,Dingeman#9741,he/him,,0,,0,0,,
Embouchure,950,Orange,Blue,US,Embouchure,Embouchure#0977,he/him,,0,,0,0,,
Erthide,100,Blue,Orange,FR-QC,Erthide,Erthide#1396,he/him,,0,,0,0,,
gamestabled,765,Red,Pink,US,gamestabled,gamestabled#4975,he/him,,0,,0,0,,
GoogleCheese,250,Navy,Teal,GB,google_cheese,google_cheese#7779,he/him,,0,,0,0,,
JJsrl,1680,Teal,Navy,US,jjsrl,jjsrl#7366,he/him,,0,,0,0,,
jukatox,555,Blue,Purple,US,jukatox,jukatox#5790,she/they,,0,,0,0,,
Libre,720,Teal,Navy,PE,libre,Libre#2934,he/him,,0,,0,0,,
mae,275,Pink,Teal,CA,xMaebelle,mae#1603,he/she/they,,0,,0,0,,
mdmason85,970,Green,Pink,US,mdmason85,mdmason85#2738,he/him,,0,,0,0,,
MrYhatoh,945,Red,Blue,CL,MrYhatoh_,MrYhatoh#8885,he/him,,0,,0,0,,
peaches,1025,Blue,Orange,US,ActuallyPeaches,peaches#1602,he/him,,0,,0,0,,
Popo,950,Purple,Red,US,popo_sr,Popo#2137,he/him,,0,,0,0,,
Reed,950,Red,Red,US,Reed_QT,Reed#6496,he/him,,0,,0,0,,
RSW,1230,Purple,Yellow,SE,RasmusSW,RSW#0798,he/him,,0,,0,0,,
schmittd,370,Purple,Orange,US,schmittd11,schmittd#3552,Don't want it displayed,,0,,0,0,,
SidedWilliams,950,Red,Green,CA,SidedWilliams,Sid Ed#2460,he/him,,0,,0,0,,
TanookiMario,55,Red,Pink,CA,TanookiMario65537,TanookiMario65537#0642,Don't want it displayed,,0,,0,0,,
toburr,930,Brown,Purple,US,toburr,toburr#7950,he/him,,0,,0,0,,
